
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-06-26完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：9.4kWh | 总费用：56867.22元
2025-06-27完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：83.7kWh | 总费用：23704.89元
2025-06-28完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：87.3kWh | 总费用：24071.96元
2025-06-29完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：18.3kWh | 总费用：56681.31元
2025-06-30完成 | 滚动常规 | q=0.75 | SOC：10785.0->10740.0 | 临时购电：11.4kWh | 总费用：56865.10元
2025-07-01完成 | 滚动常规 | q=0.75 | SOC：10740.0->9682.5 | 临时购电：3157.8kWh | 总费用：64420.87元
2025-07-02完成 | 滚动高风险 | q=0.85 | SOC：9682.5->9817.5 | 临时购电：582.3kWh | 总费用：55814.09元
2025-07-03完成 | 滚动高风险 | q=0.85 | SOC：9817.5->9907.5 | 临时购电：2354.1kWh | 总费用：63693.07元
2025-07-04完成 | 滚动高风险 | q=0.85 | SOC：9907.5->9615.0 | 临时购电：2423.1kWh | 总费用：33218.92元
2025-07-05完成 | 滚动高风险 | q=0.85 | SOC：9615.0->9750.0 | 临时购电：2960.7kWh | 总费用：37075.25元
2025-07-06完成 | 滚动高风险 | q=0.85 | SOC：9750.0->9795.0 | 临时购电：6286.9kWh | 总费用：77293.45元
2025-07-07完成 | 滚动高风险 | q=0.85 | SOC：9795.0->9727.5 | 临时购电：533.1kWh | 总费用：51988.02元
2025-07-08完成 | 滚动高风险 | q=0.85 | SOC：9727.5->10785.0 | 临时购电：16.6kWh | 总费用：59980.13元
2025-07-09完成 | 滚动高风险 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：11.4kWh | 总费用：61306.77元
2025-07-10完成 | 滚动常规 | q=0.75 | SOC：10785.0->10650.0 | 临时购电：77.9kWh | 总费用：54716.69元
2025-07-11完成 | 滚动常规 | q=0.75 | SOC：10650.0->10672.5 | 临时购电：165.2kWh | 总费用：27242.33元
2025-07-12完成 | 滚动常规 | q=0.75 | SOC：10672.5->10515.0 | 临时购电：53.7kWh | 总费用：26635.17元
2025-07-13完成 | 滚动常规 | q=0.80 | SOC：10515.0->10785.0 | 临时购电：34.8kWh | 总费用：55018.77元
2025-07-14完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：31.9kWh | 总费用：55539.77元
2025-07-15完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：21.9kWh | 总费用：57020.44元
2025-07-16完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：31.3kWh | 总费用：55209.38元
2025-07-17完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：23.5kWh | 总费用：54500.93元
2025-07-18完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：145.5kWh | 总费用：28187.92元
2025-07-19完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：15.6kWh | 总费用：28026.55元
2025-07-20完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：16.5kWh | 总费用：56583.84元
2025-07-21完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：18.6kWh | 总费用：55931.66元
2025-07-22完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：23.2kWh | 总费用：57664.20元
2025-07-23完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：25.9kWh | 总费用：56683.02元
2025-07-24完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：100.1kWh | 总费用：56274.13元
2025-07-25完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：110.7kWh | 总费用：28036.03元
2025-07-26完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：39.0kWh | 总费用：28294.78元
2025-07-27完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：361.7kWh | 总费用：57755.43元
2025-07-28完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：458.0kWh | 总费用：56448.63元
2025-07-29完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：26.7kWh | 总费用：57503.46元
2025-07-30完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：23.8kWh | 总费用：55657.19元
2025-07-31完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：19.9kWh | 总费用：56496.54元
2025-08-01完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：21.1kWh | 总费用：27368.01元
2025-08-02完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：8.9kWh | 总费用：27389.73元
2025-08-03完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：11.1kWh | 总费用：53154.87元
2025-08-04完成 | 滚动常规 | q=0.80 | SOC：10785.0->10785.0 | 临时购电：14.2kWh | 总费用：50573.26元
2025-08-05完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：9.5kWh | 总费用：49569.93元
2025-08-06完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：890.7kWh | 总费用：52142.21元
2025-08-07完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：21.9kWh | 总费用：47903.45元
2025-08-08完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：27.9kWh | 总费用：26062.94元
2025-08-09完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：151.2kWh | 总费用：26179.25元
2025-08-10完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：45.2kWh | 总费用：49899.12元
2025-08-11完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：29.5kWh | 总费用：50423.50元
2025-08-12完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：241.1kWh | 总费用：49194.94元
2025-08-13完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：129.8kWh | 总费用：48370.11元
2025-08-14完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：75.5kWh | 总费用：49984.07元
