
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-05-28完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：12.3kWh | 总费用：42395.59元
2025-05-29完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：21.1kWh | 总费用：43069.87元
2025-05-30完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：15.0kWh | 总费用：17869.27元
2025-05-31完成 | 滚动常规 | q=0.70 | SOC：10807.5->10762.5 | 临时购电：36.0kWh | 总费用：18047.69元
2025-06-01完成 | 滚动常规 | q=0.70 | SOC：10762.5->9570.0 | 临时购电：2266.9kWh | 总费用：56174.25元
2025-06-02完成 | 滚动高风险 | q=0.85 | SOC：9570.0->9637.5 | 临时购电：1376.7kWh | 总费用：56078.40元
2025-06-03完成 | 滚动高风险 | q=0.85 | SOC：9637.5->9885.0 | 临时购电：247.1kWh | 总费用：51062.25元
2025-06-04完成 | 滚动高风险 | q=0.85 | SOC：9885.0->9795.0 | 临时购电：262.6kWh | 总费用：51828.79元
2025-06-05完成 | 滚动高风险 | q=0.85 | SOC：9795.0->9930.0 | 临时购电：293.1kWh | 总费用：53262.98元
2025-06-06完成 | 滚动常规 | q=0.70 | SOC：9930.0->9525.0 | 临时购电：4099.4kWh | 总费用：39012.72元
2025-06-07完成 | 滚动高风险 | q=0.85 | SOC：9525.0->10020.0 | 临时购电：336.0kWh | 总费用：24091.86元
2025-06-08完成 | 滚动高风险 | q=0.85 | SOC：10020.0->10807.5 | 临时购电：19.5kWh | 总费用：61485.50元
2025-06-09完成 | 滚动高风险 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：26.2kWh | 总费用：59028.75元
