
===== 开始运行 soc-step=25 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-06-03完成 | 滚动高风险 | q=0.85 | SOC：9675.0->9900.0 | 临时购电：257.8kWh | 总费用：51068.68元
2025-06-04完成 | 滚动高风险 | q=0.85 | SOC：9900.0->9850.0 | 临时购电：299.8kWh | 总费用：51893.81元
2025-06-05完成 | 滚动高风险 | q=0.85 | SOC：9850.0->9925.0 | 临时购电：295.2kWh | 总费用：53189.85元
2025-06-06完成 | 滚动常规 | q=0.70 | SOC：9925.0->9525.0 | 临时购电：4217.6kWh | 总费用：39475.51元
2025-06-07完成 | 滚动高风险 | q=0.85 | SOC：9525.0->10050.0 | 临时购电：388.1kWh | 总费用：24309.94元
2025-06-08完成 | 滚动高风险 | q=0.85 | SOC：10050.0->10800.0 | 临时购电：9.3kWh | 总费用：61447.23元
2025-06-09完成 | 滚动高风险 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：29.3kWh | 总费用：59043.14元
2025-06-10完成 | 滚动常规 | q=0.75 | SOC：10800.0->10525.0 | 临时购电：58.9kWh | 总费用：55411.77元
2025-06-11完成 | 滚动常规 | q=0.75 | SOC：10525.0->10550.0 | 临时购电：61.6kWh | 总费用：55461.44元
2025-06-12完成 | 滚动常规 | q=0.75 | SOC：10550.0->10775.0 | 临时购电：30.0kWh | 总费用：56593.78元
2025-06-13完成 | 滚动常规 | q=0.75 | SOC：10775.0->10475.0 | 临时购电：160.3kWh | 总费用：22206.16元
2025-06-14完成 | 滚动常规 | q=0.75 | SOC：10475.0->10775.0 | 临时购电：219.1kWh | 总费用：23428.08元
2025-06-15完成 | 滚动常规 | q=0.75 | SOC：10775.0->10800.0 | 临时购电：20.1kWh | 总费用：59142.24元
2025-06-16完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：13.7kWh | 总费用：59262.01元
2025-06-17完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：67.4kWh | 总费用：57904.01元
2025-06-18完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：14.5kWh | 总费用：58113.94元
2025-06-19完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：22.6kWh | 总费用：59241.18元
2025-06-20完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：98.8kWh | 总费用：24449.12元
2025-06-21完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：64.7kWh | 总费用：24717.74元
